,Company1,Company2,Company3,Company4,Company5,Company6,Company7,Company8,Company9,Company10,Company11,Company12,Company13,Company14,Company15,Company16,Company17,Company18,Company19,Company20,Company21,Company22,Company23,Company24,Company25
Property,?,?,?,?,26.58,29.06,57.22,43.32,181.3,124.43,24.29,44.67,17.63,42.33,44.65,46.2,61.35,4.25,135.67,59.86,51.05,83.31,92.09,42.36,105.15
,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values
97,473.48,35.48,101.02,58.47,8.72,50.3,90.27,109.32,75.99,41.73,26.35,24.97,144.23,93.86,14.85,42.89,47.54,365.66,35.16,98.15,56.48,9.11,57.91,91.26,100.04
98,456.23,35.23,100.43,57.7,8.53,50.38,90.81,109.08,75.89,41.86,26.27,24.99,143.41,93.52,14.93,43.44,47.42,351.75,35.01,98.1,56.65,9.18,57.01,90.98,98.94
99,442.86,35.4,101.27,57.61,8.58,48.8,90.88,108.68,75.74,42.17,26.44,24.67,143.92,92.1,14.89,44.04,47.16,361.51,35.3,97.44,56.09,9.03,55.58,89,100
100,438.32,35.17,101.25,58.37,8.57,48.37,90.27,108.34,75.45,41.61,26.29,24.6,143.17,90.82,14.92,44.3,47.22,360.22,35.08,96.27,56.21,8.91,55.38,88.01,98.91
101,440.79,35.31,101.61,58.76,8.59,48.6,90.36,108.55,75.47,41.93,26.46,24.66,143.75,90.37,15.11,43.96,47.71,371.01,34.66,95.77,55.89,8.83,57.7,87.76,97.82
102,435,35.22,101.09,57.73,8.51,47.73,90.3,107.48,75.56,41.7,26.47,24.55,143,90.21,14.42,42.9,47.67,373.01,34.91,96.04,55.43,8.95,59.33,89.14,99.28
103,438.05,35.39,101.84,58.38,8.59,48.63,91.24,108.56,75.71,41.83,26.66,24.62,143.71,90.75,14.77,44.14,47.85,379,34.38,96.44,53.88,9.06,60.15,88.77,97.36
104,439.36,35.57,101.64,58.81,8.6,48.77,91.34,109.25,76.77,41.73,27.05,24.81,145.1,91.32,14.69,44.3,47.13,405.49,34.41,96.09,54.86,9.19,60.46,88.92,97.6
105,441.2,35.63,102.2,58.61,8.62,49.58,91.88,108.05,77.73,41.44,27.02,24.63,144.54,91.85,14.53,43.04,47.77,426.1,34.34,97.22,56.5,9.3,61.9,88.21,97.07
106,449.43,35.25,101.04,58.42,8.58,50.78,91.01,106.99,77.47,41.57,26.66,24.62,144.53,92.29,14.71,42.82,47.95,419.67,33.07,95.94,55.83,9.18,61.27,87.13,95.71
107,443.67,35.02,101.74,58.03,8.4,50.52,90.42,106.63,76.87,41.6,26.88,24.7,143.93,92.27,14.41,41.93,47.77,419.87,33.02,97.27,56.68,9.39,61.77,87.44,96.09
108,438.04,35.02,100.91,57.95,8.32,48.73,90.36,106.51,76.09,41.29,26.79,24.49,143.01,92.31,14.35,41.08,47.48,422.37,32.93,97.8,56.31,9.42,60.41,87.23,96.12
109,426.53,34.97,100.42,58.06,8.25,49.5,90.32,106.5,75.75,41.04,26.95,24.52,142.93,91.51,14.49,39.68,47.47,428.19,32.68,98.14,55.95,9.3,60.32,87.55,95.99
110,423,34.92,99.41,58.11,8.22,47.57,90.46,106.55,76.27,41.1,26.88,24.66,143.19,92.2,14.09,40.25,48.14,427.73,32.29,97.33,55.53,9.1,60.01,87.93,95.45
111,429.07,34.84,100.41,58.28,8.19,47.78,91.24,108.47,77.14,40.81,27.1,24.95,144.95,94.04,14.11,41.27,48.62,439.71,32.5,98.9,56.61,9.29,58.87,88.97,97.2
